season,conf,conf2019,conf2018,division,division2019,division2018,team,team2019,team2018,wins,losses,ties,pct,div_rank,scored,allowed,net,sov,sos,wins2019,losses2019,ties2019,pct2019,div_rank2019,scored2019,allowed2019,net2019,sov2019,sos2019,wins2018,losses2018,ties2018,pct2018,div_rank2018,scored2018,allowed2018,net2018,sov2018,sos2018
2020,NFC,NFC,NFC,NFC West,NFC West,NFC West,ARI,ARI,ARI,2,2,0,0.5,3,98,92,6,0.09375,0.0234375,5,10,1,0.34375,4,361,442,-81,0.375,0.527344,3,13,0,0.1875,4,225,425,-200,0.291667,0.523438
2020,NFC,NFC,NFC,NFC South,NFC South,NFC South,ATL,ATL,ATL,0,4,0,0,4,106,138,-32,0,0.0507812,7,9,0,0.4375,2,381,399,-18,0.517857,0.542969,7,9,0,0.4375,2,414,423,-9,0.348214,0.476562
2020,AFC,AFC,AFC,AFC North,AFC North,AFC North,BAL,BAL,BAL,3,1,0,0.75,2,122,73,49,0.0833333,0.03125,14,2,0,0.875,1,531,282,249,0.482143,0.492188,10,6,0,0.625,1,389,287,102,0.44375,0.488281
2020,AFC,AFC,AFC,AFC East,AFC East,AFC East,BUF,BUF,BUF,4,0,0,1,1,123,100,23,0.09375,0.0234375,10,6,0,0.625,2,314,259,55,0.3625,0.460938,6,10,0,0.375,3,269,374,-105,0.40625,0.519531
2020,NFC,NFC,NFC,NFC South,NFC South,NFC South,CAR,CAR,CAR,2,2,0,0.5,3,99,102,-3,0.09375,0.03125,5,11,0,0.3125,4,340,470,-130,0.4625,0.546875,7,9,0,0.4375,3,376,382,-6,0.517857,0.503906
2020,NFC,NFC,NFC,NFC North,NFC North,NFC North,CHI,CHI,CHI,4,1,0,0.8,2,105,100,5,0.0625,0.0273438,8,8,0,0.5,3,280,298,-18,0.375,0.503906,12,4,0,0.75,1,421,283,138,0.411458,0.421875
2020,AFC,AFC,AFC,AFC North,AFC North,AFC North,CIN,CIN,CIN,1,2,1,0.375,4,99,99,0,0.0625,0.0234375,2,14,0,0.125,4,279,420,-141,0.40625,0.550781,6,10,0,0.375,4,368,455,-87,0.447917,0.527344
2020,AFC,AFC,AFC,AFC North,AFC North,AFC North,CLE,CLE,CLE,3,1,0,0.75,3,124,126,-2,0.0625,0.0234375,6,10,0,0.375,3,335,393,-58,0.479167,0.53125,7,8,1,0.46875,3,359,392,-33,0.410714,0.511719
2020,NFC,NFC,NFC,NFC East,NFC East,NFC East,DAL,DAL,DAL,1,3,0,0.25,3,126,146,-20,0,0.0390625,8,8,0,0.5,2,434,321,113,0.3125,0.476562,10,6,0,0.625,1,339,324,15,0.44375,0.488281
2020,AFC,AFC,AFC,AFC West,AFC West,AFC West,DEN,DEN,DEN,1,3,0,0.25,4,82,98,-16,0,0.0351562,7,9,0,0.4375,2,282,316,-34,0.401786,0.507812,6,10,0,0.375,3,329,349,-20,0.458333,0.519531
2020,NFC,NFC,NFC,NFC North,NFC North,NFC North,DET,DET,DET,1,3,0,0.25,4,99,127,-28,0.125,0.046875,3,12,1,0.21875,4,341,423,-82,0.375,0.503906,6,10,0,0.375,4,324,360,-36,0.416667,0.496094
2020,NFC,NFC,NFC,NFC North,NFC North,NFC North,GB,GB,GB,4,0,0,1,1,152,101,51,0.0625,0.015625,13,3,0,0.8125,1,376,313,63,0.423077,0.449219,6,9,1,0.40625,3,376,400,-24,0.416667,0.484375
2020,AFC,AFC,AFC,AFC South,AFC South,AFC South,HOU,HOU,HOU,0,4,0,0,4,80,126,-46,0,0.0429688,10,6,0,0.625,1,378,385,-7,0.4875,0.519531,11,5,0,0.6875,1,402,316,86,0.431818,0.46875
2020,AFC,AFC,AFC,AFC South,AFC South,AFC South,IND,IND,IND,3,1,0,0.75,2,103,56,47,0.104167,0.0234375,7,9,0,0.4375,3,361,373,-12,0.5,0.492188,10,6,0,0.625,2,433,344,89,0.45625,0.464844
2020,AFC,AFC,AFC,AFC South,AFC South,AFC South,JAX,JAX,JAX,1,3,0,0.25,3,95,117,-22,0.1875,0.03125,6,10,0,0.375,4,300,397,-97,0.40625,0.484375,5,11,0,0.3125,4,245,316,-71,0.4625,0.546875
2020,AFC,AFC,AFC,AFC West,AFC West,AFC West,KC,KC,KC,4,0,0,1,1,117,70,47,0.09375,0.0234375,12,4,0,0.75,1,451,308,143,0.473958,0.507812,12,4,0,0.75,1,565,421,144,0.395833,0.476562
2020,NFC,NFC,NFC,NFC West,NFC West,NFC West,LA,LA,LA,3,1,0,0.75,2,106,80,26,0.0416667,0.0234375,9,7,0,0.5625,3,394,364,30,0.430556,0.53125,13,3,0,0.8125,1,527,384,143,0.423077,0.476562
2020,AFC,AFC,AFC,AFC West,AFC West,AFC West,LAC,LAC,LAC,1,3,0,0.25,3,83,95,-12,0.0625,0.0390625,5,11,0,0.3125,4,337,345,-8,0.4875,0.511719,12,4,0,0.75,2,428,329,99,0.416667,0.472656
2020,AFC,AFC,AFC,AFC West,AFC East,AFC East,LV,MIA,MIA,2,2,0,0.5,2,111,120,-9,0.125,0.0390625,5,11,0,0.3125,4,306,494,-188,0.4625,0.484375,7,9,0,0.4375,2,319,433,-114,0.446429,0.464844
2020,AFC,NFC,NFC,AFC East,NFC North,NFC North,MIA,MIN,MIN,1,3,0,0.25,3,93,96,-3,0.0625,0.0429688,10,6,0,0.625,2,407,303,104,0.35,0.472656,8,7,1,0.53125,2,360,341,19,0.351562,0.5
2020,NFC,AFC,AFC,NFC North,AFC East,AFC East,MIN,NE,NE,1,3,0,0.25,3,106,125,-19,0,0.0390625,12,4,0,0.75,1,420,225,195,0.411458,0.46875,11,5,0,0.6875,1,436,325,111,0.488636,0.476562
2020,AFC,NFC,NFC,AFC East,NFC South,NFC South,NE,NO,NO,2,2,0,0.5,2,97,92,5,0.09375,0.0429688,13,3,0,0.8125,1,458,341,117,0.456731,0.484375,13,3,0,0.8125,1,504,353,151,0.480769,0.476562
2020,NFC,NFC,NFC,NFC South,NFC East,NFC East,NO,NYG,NYG,2,2,0,0.5,2,123,123,0,0.125,0.0390625,4,12,0,0.25,3,341,451,-110,0.28125,0.46875,5,11,0,0.3125,4,369,412,-43,0.4875,0.527344
2020,NFC,AFC,AFC,NFC East,AFC East,AFC East,NYG,NYJ,NYJ,0,4,0,0,4,47,96,-49,0,0.046875,7,9,0,0.4375,3,276,359,-83,0.401786,0.472656,4,12,0,0.25,4,333,441,-108,0.4375,0.5
2020,AFC,AFC,AFC,AFC East,AFC West,AFC West,NYJ,OAK,OAK,0,4,0,0,4,65,131,-66,0,0.0390625,7,9,0,0.4375,3,313,419,-106,0.330357,0.480469,4,12,0,0.25,4,290,467,-177,0.390625,0.542969
2020,NFC,NFC,NFC,NFC East,NFC East,NFC East,PHI,PHI,PHI,1,2,1,0.375,1,84,107,-23,0.125,0.0273438,9,7,0,0.5625,1,385,354,31,0.416667,0.453125,9,7,0,0.5625,2,367,348,19,0.486111,0.515625
2020,AFC,AFC,AFC,AFC North,AFC North,AFC North,PIT,PIT,PIT,3,0,0,1,1,80,58,22,0.0208333,0.00390625,8,8,0,0.5,2,289,303,-14,0.320312,0.5,9,6,1,0.59375,2,428,360,68,0.444444,0.5
2020,NFC,NFC,NFC,NFC West,NFC West,NFC West,SEA,SEA,SEA,4,0,0,1,1,142,109,33,0.0625,0.015625,11,5,0,0.6875,2,405,398,7,0.460227,0.527344,10,6,0,0.625,2,428,347,81,0.39375,0.480469
2020,NFC,NFC,NFC,NFC West,NFC West,NFC West,SF,SF,SF,2,2,0,0.5,4,107,71,36,0,0.0117188,13,3,0,0.8125,1,479,310,169,0.461538,0.5,4,12,0,0.25,3,342,435,-93,0.40625,0.5
2020,NFC,NFC,NFC,NFC South,NFC South,NFC South,TB,TB,TB,3,2,0,0.6,1,139,112,27,0.0833333,0.0390625,7,9,0,0.4375,3,458,449,9,0.375,0.496094,5,11,0,0.3125,4,396,464,-68,0.5,0.519531
2020,AFC,AFC,AFC,AFC South,AFC South,AFC South,TEN,TEN,TEN,3,0,0,1,1,80,74,6,0.0625,0.0117188,9,7,0,0.5625,2,402,331,71,0.465278,0.488281,9,7,0,0.5625,3,310,303,7,0.465278,0.519531
2020,NFC,NFC,NFC,NFC East,NFC East,NFC East,WAS,WAS,WAS,1,3,0,0.25,2,79,112,-33,0.0625,0.0351562,3,13,0,0.1875,4,266,435,-169,0.270833,0.5,7,9,0,0.4375,3,281,359,-78,0.366071,0.484375
